timestamp_utc,event_type,duration_sec,description
2026-03-04 03:32:49.993097509+00:00,GUST,62.9,AWS boost +3.7kn
2026-03-04 03:40:03.309194115+00:00,SENSOR_OFFLINE,170.4,6 points nulled
2026-03-04 03:47:25.118614042+00:00,SHORT_GAP,3.9,0 points nulled
2026-03-04 03:53:57+00:00,SPIKE,0.0,AWS 10.6 -> 82.7kn
2026-03-04 04:05:07.704544337+00:00,SHORT_GAP,8.5,0 points nulled
2026-03-04 04:06:46+00:00,SPIKE,0.0,AWS 10.3 -> 84.9kn
2026-03-04 04:08:22.746517955+00:00,SHORT_GAP,5.1,1 points nulled
2026-03-04 04:12:44.885669105+00:00,SHORT_GAP,5.1,0 points nulled
2026-03-04 04:18:38.744419078+00:00,GUST,83.7,AWS boost +7.7kn
2026-03-04 04:19:21+00:00,SPIKE,0.0,AWS 18.4 -> 154.4kn
2026-03-04 04:21:50.984301714+00:00,SHORT_GAP,6.1,0 points nulled
2026-03-04 04:24:37.800173846+00:00,SENSOR_OFFLINE,258.9,2 points nulled
2026-03-04 04:26:34.463330583+00:00,SHORT_GAP,4.9,0 points nulled
2026-03-04 04:30:04.255668046+00:00,SHORT_GAP,7.5,0 points nulled
2026-03-04 04:35:04.835885310+00:00,SHORT_GAP,6.5,0 points nulled
2026-03-04 04:47:38.805062796+00:00,SHORT_GAP,4.7,0 points nulled
2026-03-04 04:52:04.531216031+00:00,SHORT_GAP,8.5,0 points nulled
2026-03-04 05:00:06.194446436+00:00,SENSOR_OFFLINE,44.6,0 points nulled
2026-03-04 05:04:48.366388570+00:00,SHORT_GAP,6.8,0 points nulled
2026-03-04 05:13:20.387686859+00:00,GUST,84.3,AWS boost +4.4kn
2026-03-04 05:16:52.244269770+00:00,SHORT_GAP,6.8,0 points nulled
2026-03-04 05:26:15.952436996+00:00,SHORT_GAP,5.9,0 points nulled
2026-03-04 05:49:14.672894092+00:00,SHORT_GAP,6.2,0 points nulled
2026-03-04 05:50:34.967351890+00:00,SHORT_GAP,3.5,0 points nulled
2026-03-04 05:52:36.439616738+00:00,SHORT_GAP,8.3,0 points nulled
2026-03-04 06:04:25.149131235+00:00,GUST,53.4,AWS boost +4.1kn
2026-03-04 06:11:22.599249926+00:00,SHORT_GAP,3.3,0 points nulled
2026-03-04 06:19:59.801676440+00:00,SHORT_GAP,9.5,0 points nulled
2026-03-04 06:25:51+00:00,SPIKE,0.0,AWS 7.8 -> 47.7kn
2026-03-04 06:32:36.130031654+00:00,SENSOR_OFFLINE,254.5,5 points nulled
2026-03-04 07:12:33.909163420+00:00,GUST,69.4,AWS boost +7.0kn
2026-03-04 07:21:13.676194773+00:00,GUST,107.9,AWS boost +5.6kn
2026-03-04 07:37:04.543134667+00:00,SHORT_GAP,6.3,0 points nulled
2026-03-04 07:41:19.366750010+00:00,SHORT_GAP,5.9,0 points nulled
2026-03-04 07:43:38+00:00,SPIKE,0.0,AWS 15.5 -> 89.8kn
2026-03-04 07:46:06+00:00,SPIKE,0.0,AWS 17.3 -> 170.4kn
2026-03-04 08:30:05.604850329+00:00,GUST,30.7,AWS boost +7.6kn
2026-03-04 08:30:13.863039116+00:00,GUST,83.6,AWS boost +3.1kn
2026-03-04 08:36:45.934427751+00:00,GUST,60.0,AWS boost +3.1kn
2026-03-04 08:41:18.779547870+00:00,SHORT_GAP,4.4,1 points nulled
2026-03-04 08:43:54.578343662+00:00,SHORT_GAP,10.0,0 points nulled
2026-03-04 08:44:20.089670997+00:00,SHORT_GAP,4.7,0 points nulled
2026-03-04 08:48:20.183850957+00:00,SHORT_GAP,4.3,0 points nulled
2026-03-04 08:48:58.216323009+00:00,SHORT_GAP,3.0,0 points nulled
2026-03-04 08:53:54.490038404+00:00,SHORT_GAP,3.3,1 points nulled
2026-03-04 09:08:08.527725339+00:00,SHORT_GAP,8.2,0 points nulled
2026-03-04 09:09:41.415917875+00:00,SENSOR_OFFLINE,180.2,7 points nulled
2026-03-04 09:10:38.655786447+00:00,SHORT_GAP,8.8,1 points nulled
2026-03-04 09:15:57.966877019+00:00,SHORT_GAP,4.0,0 points nulled
2026-03-04 09:18:42+00:00,SPIKE,0.0,AWS 23.5 -> 166.9kn
2026-03-04 09:37:18.229019348+00:00,GUST,36.2,AWS boost +6.0kn
2026-03-04 09:47:37.435237892+00:00,SHORT_GAP,3.2,0 points nulled
2026-03-04 09:48:24.034123465+00:00,GUST,72.3,AWS boost +6.8kn
2026-03-04 10:04:11.421937638+00:00,SHORT_GAP,7.9,0 points nulled
2026-03-04 10:06:55.228230451+00:00,GUST,43.2,AWS boost +5.5kn
2026-03-04 10:12:22.769767957+00:00,SHORT_GAP,5.5,0 points nulled
2026-03-04 10:21:51.932513754+00:00,SHORT_GAP,8.2,1 points nulled
2026-03-04 10:42:51+00:00,SPIKE,0.0,AWS 23.3 -> 219.4kn
2026-03-04 10:59:08+00:00,SPIKE,0.0,AWS 26.1 -> 195.9kn
2026-03-04 11:09:08.284875649+00:00,SHORT_GAP,5.5,0 points nulled
2026-03-04 11:12:39.013176105+00:00,SHORT_GAP,4.6,0 points nulled
2026-03-04 11:15:29+00:00,SPIKE,0.0,AWS 24.6 -> 178.6kn
2026-03-04 11:28:10.223267989+00:00,GUST,66.4,AWS boost +7.0kn
2026-03-04 11:34:58.665382612+00:00,SHORT_GAP,7.8,1 points nulled
2026-03-04 11:40:27.614321107+00:00,SHORT_GAP,8.0,0 points nulled
2026-03-04 11:49:17+00:00,SPIKE,0.0,AWS 28.3 -> 267.1kn
2026-03-04 11:55:51.323880086+00:00,GUST,105.8,AWS boost +8.0kn
2026-03-04 12:14:25+00:00,SPIKE,0.0,AWS 27.1 -> 154.4kn
2026-03-04 12:37:30.416118721+00:00,GUST,66.4,AWS boost +3.2kn
2026-03-04 12:53:04.726615458+00:00,GUST,62.4,AWS boost +3.3kn
2026-03-04 12:59:21.789748793+00:00,SHORT_GAP,3.8,0 points nulled
2026-03-04 13:14:34.902993712+00:00,GUST,75.2,AWS boost +6.9kn
2026-03-04 13:22:56.792387839+00:00,SHORT_GAP,7.6,1 points nulled
2026-03-04 13:23:35+00:00,SPIKE,0.0,AWS 29.5 -> 250.7kn
2026-03-04 13:28:33.685282546+00:00,SHORT_GAP,7.4,1 points nulled
2026-03-04 13:38:35.028996698+00:00,GUST,73.8,AWS boost +4.2kn
2026-03-04 13:43:31.645275703+00:00,GUST,34.1,AWS boost +5.7kn
2026-03-04 14:06:42.476435746+00:00,GUST,39.3,AWS boost +6.1kn
2026-03-04 14:18:11.420149284+00:00,SHORT_GAP,6.8,0 points nulled
2026-03-04 14:24:59.298678722+00:00,SENSOR_OFFLINE,228.9,8 points nulled
2026-03-04 14:28:45.735888627+00:00,SHORT_GAP,9.6,1 points nulled
2026-03-04 14:32:19.649932799+00:00,SHORT_GAP,6.0,1 points nulled
2026-03-04 14:33:42.721367099+00:00,SHORT_GAP,8.8,0 points nulled
2026-03-04 14:40:51.725936478+00:00,SENSOR_OFFLINE,200.2,12 points nulled
2026-03-04 14:51:04.779156931+00:00,SHORT_GAP,3.5,1 points nulled
2026-03-04 14:52:00+00:00,SPIKE,0.0,AWS 24.6 -> 189.4kn
2026-03-04 14:58:37.097918173+00:00,SHORT_GAP,7.5,0 points nulled
2026-03-04 15:18:02.116955742+00:00,SHORT_GAP,6.6,0 points nulled
2026-03-04 15:23:30.294243083+00:00,GUST,81.9,AWS boost +7.6kn
2026-03-04 15:29:04.584718156+00:00,SHORT_GAP,8.5,0 points nulled
2026-03-04 15:45:46.084076155+00:00,SENSOR_OFFLINE,235.1,4 points nulled
2026-03-04 15:50:08.805326505+00:00,GUST,96.1,AWS boost +5.7kn
2026-03-04 15:54:26.962840629+00:00,GUST,97.9,AWS boost +6.4kn
2026-03-04 15:58:51+00:00,SPIKE,0.0,AWS 26.7 -> 136.6kn
2026-03-04 16:02:28.163257844+00:00,SHORT_GAP,9.9,0 points nulled
2026-03-04 16:09:45+00:00,SPIKE,0.0,AWS 27.5 -> 253.0kn
2026-03-04 16:21:54+00:00,SPIKE,0.0,AWS 26.7 -> 223.2kn
2026-03-04 16:25:43.990584067+00:00,SHORT_GAP,9.8,0 points nulled
2026-03-04 16:47:04.497563641+00:00,SHORT_GAP,4.3,0 points nulled
2026-03-04 16:57:17.589706331+00:00,SHORT_GAP,4.5,0 points nulled
2026-03-04 17:15:48.661559189+00:00,SHORT_GAP,7.4,0 points nulled
2026-03-04 17:25:56.053859089+00:00,SHORT_GAP,8.6,0 points nulled
2026-03-04 17:29:11.969079491+00:00,SHORT_GAP,9.1,0 points nulled
2026-03-04 17:32:27.609069911+00:00,SHORT_GAP,6.6,0 points nulled
2026-03-04 17:34:54.987460435+00:00,GUST,54.1,AWS boost +4.4kn
2026-03-04 17:37:52+00:00,SPIKE,0.0,AWS 25.5 -> 197.7kn
2026-03-04 17:41:52.841087885+00:00,GUST,105.4,AWS boost +3.3kn
2026-03-04 17:47:45.192562935+00:00,SHORT_GAP,4.4,0 points nulled
2026-03-04 17:55:53.599860617+00:00,SHORT_GAP,9.2,0 points nulled
2026-03-04 18:22:26.268432947+00:00,SHORT_GAP,7.8,0 points nulled
2026-03-04 18:28:52.167539925+00:00,SHORT_GAP,8.3,0 points nulled
2026-03-04 18:38:52.882561704+00:00,GUST,68.1,AWS boost +6.3kn
2026-03-04 18:49:13.348098461+00:00,GUST,94.8,AWS boost +7.1kn
2026-03-04 18:49:30.747693910+00:00,SHORT_GAP,4.9,0 points nulled
2026-03-04 19:05:16.138440360+00:00,SENSOR_OFFLINE,99.1,4 points nulled
2026-03-04 19:22:11.874788071+00:00,SHORT_GAP,9.1,0 points nulled
2026-03-04 19:24:31.575268591+00:00,GUST,57.9,AWS boost +7.8kn
2026-03-04 19:28:50.609262256+00:00,SENSOR_OFFLINE,230.7,4 points nulled
2026-03-04 19:32:36.612361168+00:00,SHORT_GAP,6.9,0 points nulled
